,en,zh,fr,de,id,it,pt,ru,es,ar,nl,hi,ja,vi
en,0.00,0.57,0.46,0.42,0.52,0.51,0.47,0.49,0.40,0.57,0.49,0.59,0.66,0.57
zh,0.57,0.00,0.57,0.58,0.62,0.61,0.61,0.57,0.56,0.00,0.63,0.58,0.59,0.66
fr,0.46,0.57,0.00,0.46,0.56,0.55,0.46,0.51,0.41,0.57,0.51,0.58,0.71,0.61
de,0.42,0.58,0.46,0.00,0.64,0.52,0.53,0.42,0.50,0.58,0.35,0.53,0.60,0.72
id,0.52,0.62,0.56,0.64,0.00,0.52,0.48,0.61,0.57,0.62,0.59,0.67,0.76,0.36
it,0.51,0.61,0.55,0.52,0.52,0.00,0.30,0.56,0.47,0.61,0.43,0.61,0.75,0.61
pt,0.47,0.61,0.46,0.53,0.48,0.30,0.00,0.50,0.40,0.61,0.49,0.58,0.77,0.57
ru,0.49,0.57,0.51,0.42,0.61,0.56,0.50,0.00,0.45,0.57,0.57,0.50,0.66,0.66
es,0.40,0.56,0.41,0.50,0.57,0.47,0.40,0.45,0.00,0.56,0.58,0.57,0.76,0.62
ar,0.57,0.00,0.57,0.58,0.62,0.61,0.61,0.57,0.56,0.00,0.63,0.58,0.59,0.66
nl,0.49,0.63,0.51,0.35,0.59,0.43,0.49,0.57,0.58,0.63,0.00,0.63,0.69,0.69
hi,0.59,0.58,0.58,0.53,0.67,0.61,0.58,0.50,0.57,0.58,0.63,0.00,0.60,0.75
ja,0.66,0.59,0.71,0.60,0.76,0.75,0.77,0.66,0.76,0.59,0.69,0.60,0.00,0.83
vi,0.57,0.66,0.61,0.72,0.36,0.61,0.57,0.66,0.62,0.66,0.69,0.75,0.83,0.00
